,f3662208,f3662212,f3662213,f3662216,f3662210,f3662207
22,Μμμμμ βρε τι μας λες,Μμμμμ βρε τι μας λες,Μμμμμ βρε τι μας λες,Μμμμμ βρε τι μας λες,Μμμμμ βρε τι μας λες,Μμμμμ βρε τι μας λες
23,Νέο,Νέο,Νέο,Νέο,Νέο,Νέο
24,Ερωτήσεις με τι θέμα,Ερωτήσεις με τι θέμα,Ερωτήσεις με τι θέμα,Ερωτήσεις με τι θέμα,Ερωτήσεις με τι θέμα,Ερωτήσεις με τι θέμα
25,Ο Μπο είναι δικός μου,Ο Μπο είναι δικός μου,Ο Μπο είναι δικός μου,Ο Μπο είναι δικός μου,Ο αδερφός είναι δικός μου,Ο Μπο είναι δικός σου
26,Κι εγώ,Κι εγώ,Κι εγώ,Κι εγώ,Κι εγώ,Κι εγώ
27,Quiz στείλε μου τότε,Quiz στείλε μου τότε,Quiz στείλε μου τότε,Quiz στείλε μου τότε,Quiz στείλε μου τότε,Quiz στείλε μου τότε
28,Να σου πω κάτι;,Να σου πω κάτι;,Να σου πω κάτι;,Να σου πω κάτι;,Να σου πω κάτι;,Να σου πω κάτι;
29,Γεια,Γεια,Γεια,Γεια,Γειά,Γεια
30,Πότε θα ξαναστείλεις,Πότε θα ξαναστείλεις;,Πότε θα ξαναστείλεις,Πότε θα ξαναστείλεις,Πότε θα ξαναστείλεις,Πότε θα ξαναστείλεις
31,Ναι,Ναι,Ναι,Ναι,Ναι,Ναι
32,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ
33,Ναι,Ναι,Ναι,Ναι,Ναι,Ναι
34,Καλύτερα όμως όταν ξεκινάει και μετά,Καλύτερα όμως όταν ξεκινάει και μετά,Καλύτερα όμως όταν ξεκινάει και μετά,Καλύτερα όμως όταν ξεκινάει και μετά,Καλύτερα όμως όταν ξεκινάει και μετά,Καλύτερα όμως όταν ξεκινάει και μετά
35,Μπράβο,Μπράβο,Μπράβο,Μπράβο,Μπράβο,Μπράβο
36,Κομπλέ απλά δεν έβλεπα γι' αυτό,Κομπλέ απλά δεν έβλεπα γι αυτό,Κομπλέ απλά δεν έβλεπα γι' αυτό,Κομπλέ απλά δεν έβλεπα γι΄ αυτό,Κομπλέ απλά δεν έβλεπα για αύριο,Comple απλά δεν έβλεπα για αύριο
37,Άντε,Άντε,Άντε,Άντε,Άντε,Άντε
38,Χαίρομαι,Χαίρομαι,Χαίρομαι,Χαίρομαι,Χαίρομαι,Χαίρομαι
39,Άντε,Άντε,Άντε,Άντε,Άντε,Άντε
40,Έγινε,Έγινε,Έγινε,Έγινε,Έγινε,Έγινε
41,Ωραία,Ωραία,Ωραία,Ωραία,Ωραία,Ωραία
42,Ναιι,Ναιι,Ναιι,Ναιι,Ναιι,Ναιι
43,Ωραίο quiz,Ωραίο quiz,Ωραίο quiz,Ωραίο quiz,Ωραίο quiz,Ωραίο quiz
44,ΑΡΧΗΓΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΣ,ΑΡΧΗΓΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΣ,ΑΡΧΗΓΟΟΟΟΟΟΣ,ΑΡΧΗΓΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΣ,ΑΡΧΗΓΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΣ,ΑΡΧΗΓΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΟΣ
45,Πού κολλάει αυτό;,Πού κολλάει αυτό,Πού κολλάει αυτό,Πού κολλάει αυτό,Πού κολλάει αυτό,Πού κολλάει αυτό
46,Χαχαχαχαχ,Χαχαχαχαχ,Αχαχαχαχαχ,χαχαχαχαχ,Χαχαχαχαχ,Χαχαχαχαχ
47,Πόσους πόνους έχω,Πόσους πόντους έχω,Πόσους πόντους έχω,Πόσους πόντους έχω,Πόσους πότους έχω,Πόσους πόντους έχω
48,Το 9 12 τι είναι,Το 9 12 τι είναι,Το 9 12 τι είναι,Το 9 12 τι είναι,Το 9 12 τι είναι,Το 9 12 τι είναι;
49,Έτσι,Έτσι,Έτσι,Έτσι,Έτσι,Έτσι
50,Δεν πειράζει,Δεν πειράζει,Δεν πειράζει,Δεν πειράζει,Δεν πειράζει,Δεμ πειράζει
51,Χαχα,Χαχα,Χαχα,Χαχα,Χαχα,χαχα
52,Όχι όντως,Όχι όντως,Όχι όντως,Όχι όντως,Όχι όντως,Όχι όντως
53,Ερωτήσεις,Ερωτήσεις ,Ερωτήσεις ,Ερωτήσεις,Ερωτήσεις,Ερωτήσεις
54,Τελείωνε,Τελείωνε,Τελείωνε,Τελείωνε,Τελείωνε,Τελείωνε
55,Πάλι 50,Πάλι 50,Πάλι 50,Πάλι 50,Πάλι 50,Πάλι 50
56,Βλέπω eurovision,Βλέπω Eurovision,Βλέπω eurovision,Βλέπω eurovision,Βλέπω Eurovision,Βλέπω eurovision
57,Πάλι δεν κατάλαβα,Πάλι δεν κατάλαβα,Πάλι δεν κατάλαβα,Πάλι δεν κατάλαβα,Πάλι δεν κατάλαβα,Πάλι δεν κατάλαβα
58,"Τα greeklish φταίνε, είμαι σίγουρος:p","Τα greeklish φταίνε, είμαι σίγουρος :p","Τα greeklish φταίνε, είμαι σίγουρος ","Τα greeklish φταίνε, είμαι σίγουρος :p","Τα greeklish φταίνε, είμαι σίγουρος:p","Τα greeklish φταίνε, είμαι σίγουρος:p"
59,Κι άλλες ερωτήσεις please,Κι άλλες ερωτήσεις please,Κι άλλες ερωτήσεις please,Κι άλλες ερωτήσεις please,Κι άλλες ερωτήσεις please,"Κι άλλες ερωτήσεις, please"
60,Όχι ρε αδερφέ,Όχι ρε αδερφέ,Όχι ρε αδερφέ,Όχι ρε αδερφέ,Όχι ρε αδερφέ,Όχι ρε αδερφέ
61,Άμα δεν είναι κάποιος μέσα δεν στέλνεις,Άμα δεν είναι κάποιος μέσα δεν στέλνεις,Άμα δεν είναι κάποιος μέσα δεν στέλνεις,Άμα δεν είναι κάποιος μέσα δεν στέλνεις,Άμα δεν είναι κάποιος μέσα δε στέλνεις,Άμα δεν είναι κάποιος μέσα δεν στέλνεις
62,Κάτι άλλο,Κάτι άλλο ,Κάτι άλλο,Κάτι άλλο,Κάτι άλλο,Κάτι άλλο
63,Έτσι,Έτσι,Έτσι,Έτσι,Έτσι,Έτσι
64,ΑΡΧΗΓΟΣ,ΑΡΧΗΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ
65,26000 μ(έτρα),26000 μ,26000 metre,26000 μ,26000 m,26000 m
66,Α μια χαρά,Α μια χαρ,Α μια χαρά,Α μια χαρά,Α μια χαρά,Α μια χαρά
67,Εσύ με μαχητές ή διάσημους είσαι,Εσύ με μαχητές ή διασήμους είσαι,Εσύ με μαχητές ή διάσημους είσαι,Εσύ με μαχητές ή διάσημους είσαι,Εσύ με μαχητές ή διάσημους είσαι,Εσύ με μαχητές ή διάσημους είσαι
68,Ρώτα,Ρώτα,Ρώτα/ Ρότα,Ρώτα,Ρώτα,Ρώτα
69,Πες,Πες ,Πες ,Πές,Πες,Πες
70,Κομπλέ,Κομπλέ ,Κομπλέ,Κομπλέ,Κομπλέ,Κομπλέ
71,Χαχαχα,Χαχαχα ,Χαχαχα,Χαχαχα,Χαχαχα,Χαχαχα
72,Άσ΄το,Άστο,Άστο,Άστο,Άστο,Άσ'το
73,Γεια,Γειά,Γεια,Γεια,Γειά,Γεια
74,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά,Δεν έχω ελληνικά
75,Αυτό,Αυτό,Αυτό,Αυτό,Αυτό,Αυτό
76,Στείλε,Στείλε,Στείλε,Στείλε,Στείλε,Στείλε
77,Γιατί στέλνεις πάντα τα ίδια,Γιατί στέλνεις πάντα τα ίδια,Γιατί στέλνεις πάντα τα ίδια,Γιατί στέλνεις πάντα τα ίδια,Γιατί στέλνεις πάντα τα ίδια,Γιατί στέλνεις πάντα τα ίδια
78,Στείλε μου,Στείλε μου,Στείλε μου,Στείλε μου,Στείλε μου,Στείλε μου
79,Καλά,Καλά,Καλά,Καλά,Καλά,Καλά
80,Καλημέραα,Καλημέραα,Καλημέρα,Καλημέραα,Καλημέραα,Καλημέραα
81,Διάσημοι!!!,Διάσημοι!!,Διάσημοι!!!,Διάσημοι!!!,Διάσημοι!!!,Διάσημοι!!!
82,Υπολογιστής,Υπολογιστής,Υπολογιστής,Υπολογιστής,Υπολογιστής,Υπολογιστής
83,Η Λάουρα έφυγε από το survivor;,Η Λάουρα έφυγε από το Survivor?,Η Λάουρα έφυγε από το survivor;,Η Λάουρα έφυγε από το survivor;,Η Λάουρα έφυγε από το survivor;,Η Λάουρα έφυγε από το survivor;
84,Κάνε (κάμε) καμιά ερώτηση,Κάνε καμιά ερώτηση,Κάμε καμιά ερώτηση,Κάνε καμία ερώτηση,Κάνε καμιά ερώτηση,Κάνε καμιά ερώτηση
85,Διάσημοι,Διάσημοι ,Διάσημοι,Διάσημοι,Διάσημοι,Διάσημοι
86,Γιατί,Γιατί ,Γιατί,Γιατί,Γιατί,Γιατί
87,Στείλε,Στείλε   ,Στείλε,Στείλε,Στείλε,Στείλε
88,Θα δείξει x factor και δεν προλαβαίνουν να βάλουν καινούργιο επεισόδιο γιατί η ώρα 10 ξεκινά ,Θα δείξει XFactor και δεν προλαβαίνουν να βάλουν καινούργιο επεισόδιο γιατί η ώρα 10 ξεκινά,Θα δείξει x-factor και δεν προλαβαίνουν να βάλουν καινούργιο επεισόδιο γιατί η ώρα 10 ξεκινά,Θα δείξει x factor και δεν προλαβαίνουν να βάλουν καινούργιο επεισόδιο γιατί η ώρα 10 ξεκινά,Θα δείξει X-Factor και δεν προλαβαίνουν να βάλουν καινούριο επεισόδιο γιατί η ώρα 10 ξεκινά,Θα δείξει x factor και δεν προλαβαίνουν να βάλουν καινούριο επεισόδιο γιατί η ώρα 10 ξεκινά
89,Γειααα,Γειααα,Γειαα,Γειααα,Γειάαα,Γειααα
90,Όταν αρχίσει το survivor θα ξαναστείλεις,Όταν αρχίσει το Survivor θα ξαναστείλεις,Όταν αρχίσει το survivor θα ξαναστείλεις,Όταν αρχίσει το survivor θα ξαναστείλεις,Όταν αρχίσει το survivor θα ξαναστείλεις,Όταν αρχίσει το survivor θα ξαναστείλεις
91,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΧΗΓΟΣ,ΑΡΓΗΧΟΣ
92,Στείλε ερώτηση,Στείλε ερώτηση,Στείλε ερώτηση,Στείλε ερώτηση,Στείλε ερώτηση,Στείλε ερώτηση
93,Ναι,Ναι,Ναι,Ναι,Ναι,Ναι
94,Καλά,Καλά,Καλά,Καλά,Καλά,Καλά
95,Θα κάνεις ερωτήσεις,Θα κάνεις ερωτήσεις,Θα κάνεις ερωτήσεις,Θα κάνεις ερωτήσεις,Θα κάνεις ερωτήσεις,Θα κάνεις ερωτήσεις
96,Θα είναι άδικο άμα δεν μηδενίσετε,Θα είναι άδικο άμα με μηδενίσετε,Θα είναι άδικο άμα με μηδενίσετε,Θα είναι άδικο άμα με μηδενίσετε,Θα είναι άδικο άμα με μηδενίσετε,Θα είναι άδικο άμα με μηδενίσετε
97,Πωωωω,Πωωωω,Πωωω,Πωωωω,Πωωωω,Πωωωω
98,Αφού λες ότι θα τα ξαναπούμε αύριο,Αφού λες ότι θα ξαναπούμε αύριο,Αφού λες ότι θα τα ξαναπούμε αύριο,Αφού λες ότι θα τα ξαναπούμε αύριο,Αφού λες ότι θα ξαναπούμε αύριο,Αφού λες ότι θα τα ξαναπούμε αύριο
99,Τι κάνεις,Τι κάνεις,Τι κάνεις,Τι κάνεις,Τι κάνεις,Τι κάνεις
100,Στείλε,Στείλε,Στείλε,Στείλε,Στείλε,Στείλε
101,Βαθμολογία,Βαθμολογία,Βαθμολογία,Βαθμολογία,Βαθμολογία,Βαθμολογία
102,Μπα,Μπα,Μπα,Μπα,Μπα,Μπα
103,Τι να πούμε,Τι να πούμε,Τι να πούμε,Τι να πούμε,Τι να πούμε,Τι να πούμε
104,Χαχαχαα,Χαχαχαα,Χαχαχαα,Χαχαχαα,Χαχαχαα,Χαχαχαα
105,Μια χαρά,Μια χαρά,Μια χαρά,Μια χαρά,Μια χαρά,Μια χαρά
106,Πες,Πες,Πες ,Πες,Πες,Πες
107,Σε πόση ώρα,Σε πόση ώρα,Σε πόση ώρα,Σε πόση ώρα,Σε πόση ώρα,Σε πόση ώρα
108,Τι φοράς;,Τι φοράς;,Τι φοράς;,Τι φοράς;,Τι φοράς;,Τι φοράς;
109,Τέλεια,Τέλεια,Τέλεια,Τέλεια,Τέλεια,Τέλεια
110,Πόσους βαθμούς έχω;,Πόσους βαθμούς έχω;,Πόσους βαθμούς έχω;,Πόσους βαθμούς έχω;,Πόσους βαθμούς έχω;,Πόσους βαθμούς έχω ;
111,Χααχαχχαχαχαχ,Χααχαχχαχαχαχ,Χααχαχχαχαχαχ,Χααχαχχαχαχαχ,Χααχαχχαχαχαχ,Χααχαχχαχαχαχ
112,Σήμερα αποχωρούν,Σήμερα αποχωρούν,Σήμερα αποχωρούν,Σήμερα αποχωρούν,Σήμερα αποχωρούν,Σήμερα αποχωρούν
113,Ολυμπιακός-Παο,Ολυμπιακός-ΠΑΟ,Ολυμπιακός-Π.Α.Ο,Ολυμπιακός-Παο,Ολυμπιακός-Παναθηναϊκός,Ολυμπιακός-ΠΑΟ
114,Ποιοι είναι όλοι αυτοί;,Ποιοι είναι όλοι αυτοί;,Ποιοι είναι όλοι αυτοί;,Ποιοι είναι όλοι αυτοί;,Ποιοί είναι όλοι αυτοί;,Ποιοι είναι όλοι αυτοί;
115,Γεια σου,Γεια σου,Γεια σου,Γεια σου,Γειά σου,Γεια σου
116,Βαΐα Λιάκου,Βάια Λιάκου,Βάια Λιάκου,Βαΐα Λιάκου,Βαϊα Λιάκου,Βαΐα Λιάκου
117,Απάντα ρε,Απάντα ρε,Απάντα ρε,Απάντα ρε,Απάντα ρε,Απάντα ρε
118,Σ΄αγαπώ,Σ'αγαπώ,Σ'αγαπώ,Σ' αγαπώ,Σαγαπώ,Σ'αγαπώ
119,Ναι θες;,Ναι θες;,Ναι θες;,Ναι θες;,Ναι θές;,Ναι θες ;
120,Ολυμπιακός-Παο,Ολυμπιακός-ΠΑΟ,Ολυμπιακός-Π.Α.Ο,Ολυμπιακός-Παο,Ολυμπιακός-Παναθηναϊκός,Ολυμπιακός-ΠΑΟ
121,Ναι,Ναι,Ναι,Ναι,Ναι,Ναι
122,Αωωωωωωω ???,"Αωωωωωωω,","Ωωωωωωωωωω,","Αωωωωωωω, ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è",Ωωωωωωωω,Awwwwwww
123,Ναι για πλάκα το έστειλα,Ναι για πλάκα το έστειλα,Ναι για πλάκα το έστειλα,Ναι για πλάκα το έστειλα,Ναι για πλάκα το έστειλα,Ναι για πλάκα το έστειλα
124,Ναι,Ναι,Ναι,Ναι,Ναι,Ναι
125,Καληνύχτα,Καληνύχτα,Καληνύχτα,Καληνύχτα,Καληνύχτα,Καληνύχτα
126,Την ξέρεις την παροιμία;,Την ξέρεις την παροιμία;,Την ξέρεις τη παροιμία; ,Την ξέρεις την παροιμία;,Την ξέρεις την παροιμία;,Την ξέρεις την παροιμία;
